X,Y,objectid,reg_no,part,act,year,section,sdesc,desc_,feat_num,test,keyval,tpo_ref,tree_ref,amended
433551.287,393391.925000001,69778,1934,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/150        : T10,6201,1,A813,808/150,T10,
433537.48,393396.458000001,69779,1934,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/150        : T9,6201,1,A814,808/150,T9,
437475.238,384239.664000001,69780,1896,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/168        : T1,6201,1,A815,808/168,T1,
437483.616,384242.790999999,69781,1896,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/168        : T2,6201,1,A816,808/168,T2,
437489.349,384245.204,69782,1896,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/168        : T3,6201,1,A817,808/168,T3,
437493.297,384246.950999999,69783,1896,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/168        : T4,6201,1,A818,808/168,T4,
434158.714,385602.73,69784,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T5,6201,1,A819,808/170,T5,
434157.053,385595.199999999,69785,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T2,6201,1,A820,808/170,T2,
434155.296,385586.801999999,69786,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T1,6201,1,A821,808/170,T1,
434159.36,385590.248,69787,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T3,6201,1,A822,808/170,T3,
434161.922,385593.954,69788,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T4,6201,1,A823,808/170,T4,
434169.844,385599.823000001,69789,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T6,6201,1,A824,808/170,T6,
434174.732,385603.375,69790,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T7,6201,1,A825,808/170,T7,
434178.643,385606.631999999,69791,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T8,6201,1,A826,808/170,T8,
434184.537,385612.276000001,69792,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T9,6201,1,A827,808/170,T9,
434187.314,385615.723999999,69793,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T10,6201,1,A828,808/170,T10,
434188.799,385619.568,69794,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T11,6201,1,A829,808/170,T11,
434196.993,385626.115,69795,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T12,6201,1,A830,808/170,T12,
434202.924,385631.640000001,69796,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T13,6201,1,A831,808/170,T13,
434206.514,385636.773,69797,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T14,6201,1,A832,808/170,T14,
434208.282,385640.346999999,69798,1969,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/170        : T15,6201,1,A833,808/170,T15,
441924.092,383546.275,69799,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6203,1,A926,808/239,,
441878.154,383571.484999999,69800,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6203,1,A927,808/239,,
441928.665,383501.436000001,69801,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6203,1,A928,808/239,,
441929.378,383494.251,69802,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A929,808/239,,
441903.837,383515.977,69803,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A930,808/239,,
441882.463,383524.272,69804,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A931,808/239,,
441873.85,383531.290999999,69805,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A932,808/239,,
441866.275,383539.585000001,69806,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A933,808/239,,
441812.722,383553.304,69807,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A934,808/239,,
441856.765,383528.738,69808,7360,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/239        :,6204,1,A935,808/239,,
430943.464,380966.098999999,69809,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T5,6206,1,A936,808/240,T5,
430937.942,380965.518999999,69810,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T4,6206,1,A937,808/240,T4,
430936.649,380967.313999999,69811,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T3,6206,1,A938,808/240,T3,
430935.77,380969.234999999,69812,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T2,6206,1,A939,808/240,T2,
443813.882,381214.137,69813,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T6,6206,1,A940,808/237,T6,a
430934.79,380971.276000001,69814,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T1,6206,1,A941,808/240,T1,
430964.487,380975.733999999,69815,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T6,6206,1,A942,808/240,T6,
