objectid,zone_type,zone,tariff,st_areashape,st_perimetershape
4133, ,Central Zone 2,Mon- Sat (08:00-20:30) - £1.65 per hour <br /> Mon-Sat (vehicles parked after 16:30) -  evening rate £2 (or £1.45 up to 1 hour) <br /> Sun (08:00-20:30) - £1.00 per hour,858178.660789997,9572.47945055399
4134,11,Central Zone 1,Mon-Sat (08:00-20:30) £3.25 per hour <br /> Mon-Sat (vehicles parked after 16:30) -  evening rate £2 (or £1.45 up to 1 hour) <br /> Sun (08:00-20:30) - £2 per hour,902040.489489036,5323.66666391536
