objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
103,79,y,LWS,Clay Wood, ,{65468B64-6A71-49EA-A7B3-C46C9F21D094},,,,,22045.8524549469,913.910161069364
104,101,n,LWS,Acres Hill - Kirk Bridge Dike, ,{67ACF7C7-731A-419C-B90B-906AE878A89D},,,,,10009.3194660369,689.066793815005
105,102,n,LWS,"Lower Don Valley:Disused Railway, Meadowhall",Lower Don Valley,{A1FBF7B8-F2C1-4C2E-9906-AE1F6EE5ADAC},,,,,28672.759241946,1081.00581924704
106,294,y,LWS,Richmond Park, ,{38C3E762-39F5-45F1-80DB-433EBBC8661C},,,,,33752.7439804895,2108.18465307403
107,149,y,LWS,Frecheville Pond, ,{CF1822C5-8443-4519-B92E-803122CFB4A7},,,,,4260.16653640613,249.72681943287
108,148,n,LWS,Frecheville Heath, ,{AF400749-FB21-40BF-9CC7-0B53DC393DE6},,,,,36657.9751628075,1265.45996502307
109,272,n,LWS,"Swallow Lane Fields, Mosborough", ,{692B1489-A560-47AC-9114-2F59F590AFBE},,,,,56012.1358931522,1419.7797943934
110,283,y,LWS,"Cow Lane, Holbrook", ,{E409E462-ADA4-4850-B3D8-7CFAC294384E},,,,,8799.22262897908,509.784452717537
111,274,n,LWS,"Vinegrove Farm, Mosborough", ,{F3DD4B42-5BB9-44A6-B021-841CFD48CB50},,,,,72949.5462689537,2678.42274230661
112,259,y,LWS,Birley Vale,Shire Brook Valley,{D911FE54-69DF-4F0C-9878-D20FE44A20E4},,,,,33663.3954960639,1738.09454414787
113,119,n,LWS,Lower Porter (Hunter's Bar to City Centre), ,{5E297905-CD55-4124-B9CF-72A1E7F2643F},,,,,13885.434345382,3030.35258341879
114,118,y,LWS,Bingham Park, ,{6346F9E2-04B1-4166-ACBA-7B19BBE435B7},,,,,86162.6563244637,2898.7907458417
115,177,y,LWS,Brincliffe Edge Wood, ,{1112D9FC-6DE3-46F0-85D4-874DEDFC3F26},,,,,44845.8812532859,2314.79724661241
116,171,y,LWS,Hutcliffe Wood (including Marriot Wood), ,{0A2EA226-69E8-41B0-AA82-0F7D40DD969B},,,,,113762.754669673,2559.95623532203
117,178,y,LWS,Marriot Wood, ,{425784C8-2582-4B08-AA5F-059C737DBFD6},,,,,26980.8867566429,1084.09048960875
118,179,y,LWS,Chancet Wood, ,{69C73530-4E85-4F6E-8302-30244865DB04},,,,,96858.0097996408,2612.92424195008
119,180,y,LWS,Periwood Lane, ,{FF994478-2590-48CD-9FF5-20B9CCA28CAF},,,,,12163.3510824238,1112.80088939451
120,83,y,LWS,Jervis Lumb, ,{8B1E6B85-A33A-4C89-A20F-C42258876BF2},,,,,37949.4469675613,1473.06363708879
121,91,y,LWS,Manor Fields (Deep Pits), ,{7D7F78AC-A806-406E-B26A-E45FB5BD3443},,,,,147155.080317221,1891.89281675339
122,137,n,LWS,Hackthorn Wood, ,{C416C7FE-5EBA-4204-8CD6-23EA6448FF75},,,,,14303.7492928759,1017.6251748984
123,139,n,LWS,"Bole Hill Wood, Norton Woodseats", ,{1B4C7456-58D8-47F6-AC65-3B6FF77F33CA},,,,,26267.5247291851,797.53027315836
124,166,n,LWS,Twentywellsick Wood, ,{88F6AE8E-0D56-4894-8F65-9975F51BE52F},,,,,5275.15093390908,347.318715496918
125,138,y,LWS,Graves Park & Cobnar Wood, ,{AB78E99B-B4E4-4397-830D-97D5B9D605EC},,,,,343107.261180048,5697.4161768116
126,182,n,LWS,Greenhill Brook, ,{BD27C15B-B254-4FB4-A588-DDF4454B6A7E},,,,,20380.3551760634,4211.39571610241
127,269,y,LWS,Coisley Hill to Linleybank,Shire Brook Valley,{72B8D655-08E4-48A2-B342-CC20FDFD9B56},,,,,368649.422967243,5433.12109922961
128,176,y,LWS,Spring Wood (Abbeydale Grange School), ,{0EABFBC8-7A9E-47A1-9E8A-E27DBECC05A9},,,,,24167.0301309881,978.748587641234
129,82,y,LWS,Black Bank Open Space, ,{680873B6-6FEE-48AC-AFFC-8167C92ECFA5},,,,,113429.700166967,2870.93585348847
130,130,y,LWS,"General Cemetery, Sharrow", ,{B2D418D6-A935-48D0-B748-903B6FF2B09F},,,,,58292.1531085137,1157.07831515064
131,122,y,LWS,Endcliffe Park, ,{3225AD8F-64F8-476D-AD37-CFE4837B491E},,,,,94515.8108173477,2723.1664505146
132,181,n,LWS,River Sheaf:Archer Rd to City Centre, ,{42A8B96C-6FE8-454A-861B-E5A1EB92FCCC},,,,,64650.0204042958,9083.79745251773
133,202,y,LWS,Charlton Brook, ,{5C089FB1-61EB-45C3-97FA-80DEF05C56BA},,,,,60910.7250613623,2445.15425061825
134,200,y,LWS,Foxfield Spring, ,{F38DDCF6-F1DC-4982-BF25-F91D110D537C},,,,,31047.636492189,810.980351714497
135,185,n,LWS,Thorncliffe Triangle and Dam, ,{53D799F7-09B8-4B77-9305-77426F573F04},,,,,37357.3372116792,967.514611006388
136,189,n,LWS,Smithy Wood Tip, ,{E69F06F6-3258-4B1B-A668-65C545C3F04E},,,,,83565.0472307067,1838.76987472253
137,286,y,LWS,Blackburn Meadows, ,{8ECB1C6E-5EFF-4321-A57E-BC8ECC5D893E},,,,,512619.793727513,3280.00400343507
138,123,y,LWS,"Bole Hills, Walkley", ,{E14EC0E3-3B5A-4F1B-8C48-8F949872163A},,,,,81295.1485466257,2018.2044605206
139,186,y,LWS,Parkin Wood, ,{89986E19-86B3-4AC9-B952-AA745546AF69},,,,,278167.233759737,3730.47070147492
140,238,n,LWS,Oxspring Dam, ,{13A3D7F6-1A78-4510-B2D2-629959F7ECA8},,,,,30723.5607755691,1179.31763998979
141,162,y,LWS,Poynton Wood, ,{E9C227DF-9E55-46BA-BE9C-C6BB8EFFD48E},,,,,79546.5781169229,2119.13911808256
142,164,y,LWS,Abbeydale Industrial Hamlet, ,{4BD2D655-2888-49A8-8A72-E0AF92039E18},,,,,18015.8088322986,654.072278416915
143,18,y,LWS,Clough Fields, ,{6E784116-1A2A-4DF7-A6B2-B7ED1ADEE4DC},,,,,112964.626844451,3164.27405129966
144,218,y,LWS,Wincobank Hill, ,{3476591B-2190-453D-916A-2736F62B26D6},,,,,404073.714846033,8886.39753643698
145,168,n,LWS,River Sheaf: Totley Brook to Archer Road, ,{115D3C26-2907-4BF7-BB3D-E83B4A99AD21},,,,,81344.9065785585,6437.91653389942
146,135,y,LWS,Parkwood Springs, ,{0A0C8DC3-8182-4DC6-88B7-4546BEEC4D49},,,,,570385.590280433,10931.5216196334
147,90,n,LWS,Sandersons Mill Race,Lower River Don,{EFD0B4E2-B518-4201-9FF7-4B24E06D6EFF},,,,,53439.6484912573,1978.71333983855
148,141,y,LWS,Leeshall Wood,Gleadless Valley,{48238C7D-B83F-43C8-89C5-8EEDE7186E4A},,,,,925361.354186564,10531.3295560375
149,281,n,LWS,Short brook & Carr's Marsh, ,{6A300BEB-6A42-41B8-997F-C2627DEF588E},,,,,35141.0016292249,3676.07760156738
150,287,n,LWS,Bawtry Road Wetlands, ,{DDCFEED1-A361-4EAF-B97B-BDEC6C235810},,,,,5680.6422160492,431.144010388354
151,129,y,LWS,Blake Street Nature Park, ,{FE8B8BC6-407B-4D71-88BC-AD94340189B3},,,,,2530.10109585466,287.465992594525
152,104,y,LWS,Richmond Pond (Fish Ponds), ,{59CB2836-D653-4219-9C23-8B68E4DFF62C},,,,,3843.42736471766,245.710300990614
153,172,n,LWS,Beauchief:Ponds & Grasslands,Beauchief,{695B9D06-21B7-4792-B26A-1F27D76FF5DC},,,,,453136.432328499,4961.4309105542
154,292,n,LWS,Sandygate Ponds, ,{8FD425FE-332E-4691-BDAB-1F2F11262818},,,,,6629.61155447182,322.453580983361
155,115,y,LWS,Deer Park Road Community Wildlife Area, ,{77A6761C-13DC-40C7-B02F-32066BBDCE84},,,,,16667.3705759542,680.617601591062
156,127,y,LWS,Lynwood Gardens, ,{42C3B529-49DF-4646-B8C0-ECF2D5E148D1},,,,,6770.71908567061,389.876659703571
157,235,n,LWS,"Bagshaw Wood, Wadsley Bridge", ,{212BCE50-743D-4153-B3D6-0A864598D207},,,,,17573.2639928216,1119.45183000484
158,183,n,LWS,Graves Park Beck, ,{46DE3393-0B1E-421F-A33E-75062403F20F},,,,,17296.7995247483,1227.07347281188
159,295,y,LWS,Beighton Orchard, ,{54F6234A-BF1A-4E16-AC1E-F2165A6D1E4F},,,,,2601.85577047495,206.483062614833
160,293,n,LWS,Lower Bagley Dike, ,{A2E0F10F-459A-45D0-927B-691C48E37B78},,,,,806.971352078268,136.652801846794
161,161,n,LWS,Abbeydale Hall Gardens, ,{0DFEF2CD-5EB6-4CC8-8E9C-292C3AB1EACA},,,,,5484.57493926297,301.299001935779
162,125,y,LWS,Botanical Gardens, ,{2C39F6D1-6F0A-465F-B2ED-B289358D9681},,,,,72056.9219644251,1353.40602466021
163,167,n,LWS,Snaithing Wood, ,{192E8B06-0E69-47E3-AB46-C7F9354EC633},,,,,29981.6255984487,1180.50828615915
164,245,n,LWS,Field at Yew Lane, ,{230E6ECA-3C6E-468E-90AA-E384276CBA42},,,,,50995.5110503901,2414.71562380516
165,277,y,LWS,Woodhouse East and Disused Railway, ,{246BCF05-4840-44BB-B101-545A35B4BBAD},,,,,178408.724522905,2983.17298269504
166,143,y,LWS,Buck Wood,Gleadless Valley,{47686A5D-8127-46C5-AB36-8CEA48E6B4F1},,,,,109595.957609362,2530.34512825793
167,77,n,LWS,Burngreave Cemetery, ,{7D1D88CF-40A7-444D-86DC-7B86BB23F4B3},,,,,148704.073319435,1810.64366851175
168,282,n,LWS,Holbrook Heath & Ponds, ,{EE256AF1-E855-4BE1-B13C-F1FCB366F56A},,,,,249810.978819427,2504.81654620297
169,55,n,LWS,Upper Little Don, ,{1E9FC09F-EA98-4E38-BB5C-680B91824C4F},,,,,315580.428386092,8266.0720559038
170,56,y,LWS,Wood adjacent to Mortimer Road, ,{971C1FF2-EBFC-437D-8F8E-ABAA6D3C0E38},,,,,9808.43197439633,461.016514741757
171,26,n,LWS,Mucky Lane Field, ,{603B9AB2-91DB-496C-A15D-4678A2845C2A},,,,,88449.1906633885,1390.10185835118
172,66,n,LWS,Delf Hill Wood, ,{73FCFA9F-A274-4226-AA0F-A7D2C2FFE4C6},,,,,33625.1280962517,1193.86056800401
173,64,y,LWS,Low Ash Common, ,{060B3148-74C3-470B-B410-645D875178EB},,,,,48169.4813693444,1705.09640423899
174,52,n,LWS,Lower Ewden Beck, ,{7468014D-D6A0-4D02-A6E5-100D9AC51D15},,,,,286167.61393743,7226.27725969807
