objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
218,78,y,LWS,Crabtree Pond & Wood, ,{31D3744A-4FCC-4C58-AE3A-38BE08E80290},,,,,12918.4189010467,627.346508080351
219,219,y,LWS,Wooley Wood, ,{A1954EC9-BF8C-4897-A5CE-E97A9D9A6D64},,,,,357271.62014588,5657.91602454395
220,221,n,LWS,Upper River Don: Deepcar to Hillsborough, ,{514E8A17-DC7B-455D-AA82-AE905C430AF3},,,,,631879.1734091,28837.8661157083
221,270,y,LWS,Woodhouse Banks & Sally Clarks,Shire Brook Valley,{053B88DA-FD9B-44B0-B508-B4676F7028FC},,,,,283503.083364294,3543.78616320843
222,264,y,LWS,Birley Spa Wood,Shire Brook Valley,{F15C6DE2-AAED-458E-97F1-BAC6CD6705B8},,,,,167413.660398819,2218.0253877529
223,262,y,LWS,Wickfield Heath & Plantation,Shire Brook Valley,{8E7C89DA-0954-45EE-AB9A-5EAFF8B0C4D1},,,,,109503.601443681,1940.96467135968
224,267,y,LWS,Coisley Hill to Stone Lane,Shire Brook Valley,{19A1854B-2FBE-42A6-8F9F-4AA09532F3B5},,,,,168764.119374669,2838.01652435588
225,220,n,LWS,"Upper River Don:Station Road, Deepcar", ,{3DE5C849-16BF-462B-9D1E-42D82D085C4A},,,,,32352.9987084261,1004.45290817978
226,258,y,LWS,Woodhouse Washlands, ,{81EDCE86-11CC-4957-830D-726DB1955F6F},,,,,159362.904644725,3875.9175392323
227,279,y,LWS,Beighton Marsh, Shire Brook Valley,{5A93489C-15C1-42C1-9E61-79209A7122D1},,,,,65012.835983882,1522.29446339324
228,145,y,LWS,Rollestone Wood,Gleadless Valley,{0A6B40D3-2C78-4955-B9C1-FD5DAB2A2F03},,,,,238342.446957677,6226.93271532192
229,134,y,LWS,Sharrow School Green Roof, ,{B745B3B2-E384-401F-A310-EED8B80C6AD4},,,,,862.600294242098,205.20266700282
230,254,y,LWS,Shirtcliffe Woods & Fields,Shirtcliffe Valley,{5AC43915-9860-4894-A906-9C910C607561},,,,,105182.586543738,1914.64322863224
231,249,y,LWS,Smelter Wood,Shirtcliffe Valley,{64B5BDA8-D5A7-4BC4-BBA3-525323D1DA57},,,,,83936.3020693823,1945.14110275709
232,253,y,LWS,Shirtcliffe Valley Grasslands,Shirtcliffe Valley,{4DC56DFD-4B25-4630-B637-37EDFEE4AA59},,,,,142674.388707695,2022.93281535775
233,257,y,LWS,Lower Shirtcliffe Valley,Shirtcliffe Valley,{64A94191-FFC4-443F-A935-6FBB3EBE5398},,,,,36776.0057980032,1638.37078577899
234,248,y,LWS,Seventy Acre Hill,Tinsley Park,{90F7DE74-BAC4-488D-8532-EE2FA1A2E6F5},,,,,412841.453494518,3331.61575916435
235,17,y,LWS,Roscoe Plantation, ,{DC30AC8D-DBAF-4B89-96A4-6981D1D91549},,,,,53122.8454780909,1252.72846612172
236,198,n,LWS,"Charlton Clough, Burncross", ,{04B15881-14ED-4F1F-AE57-3DBE7BF68CAB},,,,,80830.8145383965,1588.80722110438
237,204,y,LWS,Thornclliffe Wood, Westwood & Thorncliffe Wood,{49A72DC5-B008-4262-A39B-65BB0AAA8ECF},,,,,290786.832022648,3733.15139401541
238,142,y,LWS,Gleadless Valley Grassland,Gleadless Valley,{5B24EE70-7AE3-4470-8EAC-B6C7AB8DE0D6},,,,,244388.85329735,9415.79856718669
239,87,y,LWS,Arborthorne Pond, ,{1EF223C1-4A91-4B14-9CE3-070F629C6921},,,,,10091.6297768562,391.753384622989
240,288,y,LWS,Lynley Bank Meadow (formely Beighton Tip), ,{73DE0183-DA72-4CC8-B390-F40F3C5D250C},,,,,230192.83822622,2357.20426251272
241,88,y,LWS,Salmon Pastures,Lower River Don,{7B6C58A6-80D6-4F2E-B9A2-699209C147A7},,,,,5711.67147823752,366.918694719562
242,280,n,LWS,Westfield School Pond, ,{E94D47D5-C15A-4F15-A988-2809245C9FBA},,,,,1789.44116801284,170.532654154746
243,278,y,LWS,Crystal Peaks Meadows, ,{4B0B7DD0-0690-4DAB-96D9-E63C2182B5BF},,,,,22126.791264124,1309.06684491668
244,298,y,LWS,Norwood Allotments Woodlands, ,{72AC60D1-C6D6-4775-9BB0-CBB3784E179B},,,,,6906.19069214908,541.503165317647
245,297,y,LWS,Busk Meadow Woodland, ,{644F674F-0A5A-4110-ABD8-54477FBBD63D},,,,,11120.8901325935,634.194693485614
246,255,n,LWS,Tinsley Ponds (Europa Link), ,{68FF64D3-03A1-4BFE-9F36-FAB04A464473},,,,,13271.4699488607,1302.81221338762
247,291,n,LNS,The Lumb, ,{2D529EC7-252F-49EE-B6F3-1D2047BF3E8C},,,,,3900.28141221413,391.438651788345
248,296,n,LWS,Ochre Dike, ,{1971FE64-1006-4032-9276-F51FAC4CBFAB},,,,,58511.9188721191,5819.30343418878
249,117,n,LWS,Myers Grove Lane Fields, ,{35A8A02D-0E2D-4C6A-B91B-C14D02BC83D8},,,,,10315.3137404324,440.24503279544
250,108,n,LWS,Dam Flask to Rowel Bridge, ,{53B98C99-1B78-4B9D-9732-40B66FABD832},,,,,896807.560720961,13245.3969674349
251,260,n,LWS,Normanton Spring,Shire Brook Valley,{516577E5-A528-4022-95D0-3FDC941A08CE},,,,,158333.491410852,2094.38551885305
252,105,y,LWS,Bowden Housteads Wood, ,{AAF9BF19-813B-4533-B35A-E6A60171E832},,,,,249160.30516708,5141.64310269255
253,103,y,LWS,Carbrook Ravine & Spring Wood,"Springwood, Upper Carbrook",{ACE60DCA-C279-400C-86EB-D9D2AF2E7666},,,,,137018.778563965,3494.62196789858
254,299,,LWS,Newfield Hall Wood & Orchard,,{FF8D4535-7489-42D1-85F4-76AFFF889B17},,,,,24229.9542371423,1620.33151508674
255,240,n,LWS,Wardsend Cemetery, ,{64D6C289-5AA7-44C6-B9BD-CB1624E87145},,,,,99600.4475948854,2696.32790352766
