objectid,site_name,alias_name,site_type,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_Length,shape_Area
311,Stannington War Memorial,,Open Space,{D21231E6-4824-4576-B081-97C615BAC05E},,,,,158.230912963751,1518.26325169787
312,"Storth Lane, Wharncliffe Side",,Open Space,{EC2A7EE4-C044-43B5-9042-858889B6050D},,,,,430.760182701263,9929.8552678825
313,Bedford Road ,Crag View Crescent,N/A,{73D4180A-AA11-4695-A755-CD0CB059D5CF},,,,,50.8345400615065,87.1447638840984
314,Colley Close/Holgate Road Open Space,,Open Space,{5D75560A-8F5C-4CCB-A660-39EB471F2397},,,,,396.568850862975,4176.92889152254
315,Tunwell Park,Wooden Park,Open Space,{40CF8C95-FE8B-45F2-B61A-FDA76FFBA6A0},,,,,476.226831110064,8750.66832992562
316,Colley Park,,Park,{A1D287D3-F25D-42D8-8BAC-76103FF50D98},,,,,1196.2828583923,76398.9521059575
317,Cookson Park,Halliwell Crescent/Wordsworth Avenue,Park,{2808730E-C54D-4C74-A106-8C1DE649078F},,,,,850.278295218904,24742.8078185827
318,Cowper Avenue Open Space,Grimsell Park,Open Space,{54016957-D457-472D-9E03-38BE9A75850E},,,,,952.823169370361,27354.2763836533
319,Deerlands Avenue,,Open Space,{7746FF69-18E2-4966-A4A1-9856CC9BE4DE},,,,,82.3704433973388,326.77053632973
320,Nanny Scout Hut,,N/A,{F9B59FFC-610E-486F-99C5-79D25B0DC34C},,,,,119.856904482912,863.593620680755
321,Foxhill Recreation Ground,,Park,{36538346-02BA-425B-BC2D-64C4B8F8C6EA},,,,,649.980552313766,22265.9201913097
322,Longley Park,,Park,{73E2A26B-FFF5-4C4E-B59B-71C847928E38},,,,,2701.54064753145,287179.277467504
323,Musgrave Road,,Open Space,{C7E8DE1E-2FB4-4351-8D61-8A1654209A9F},,,,,748.160789737121,6664.51793184846
324,Chapletown Park Wood, ,Woodland,{ECE13FA1-CAF1-4CB7-AEC5-D73081CEE7A4},,,,,1840.48313749974,42451.371665342
325,Stannington Road/Uppergate Road,,Open Space,{4BC31EED-5FAB-499B-A1F3-76F27D386B59},,,,,392.079488918865,9700.16427576191
326,Yew Trees Lane & Wood, ,Woodland,{CD1B75C3-284B-4213-A579-BB6D57EFDC50},,,,,2971.4305261561,167734.035555759
327,Wigtwizzle Plantation, ,Woodland,{3C69C4CB-347A-480E-936B-A962DA9A5DAC},,,,,1367.93998863497,90275.8804976821
328,Morehall Reservoir Plantation, ,Woodland,{2D864125-EA67-4F06-AECB-544CB64BE410},,,,,2686.05511571661,173652.010617662
329,Dwarriden Plantation, ,Woodland,{D71F35FB-CB04-45F4-93BF-4B395C3A9785},,,,,2372.44150027405,159242.572562179
330,Horse Wood,Foxhill Wood,Woodland,{45AED002-85BC-4037-AEA9-67EEDD095F97},,,,,3122.37710056973,186699.787834251
331,Parson Cross Park,,Park,{BE7FCDF1-AFB2-4F4B-9149-781D352A7440},,,,,1908.63328062603,195161.41164485
