objectid,floodzone,keyval,st_areashape,st_perimetershape
152,Floodzone 3b - Functional floodplain,68,1028.61908677059,502.436975863085
153,Floodzone 3b - Functional floodplain,69,145.074729680779,123.718147821857
154,Floodzone 3b - Functional floodplain,70,439.890815886968,360.709575822129
155,Floodzone 3b - Functional floodplain,71,110.142358419395,90.8892848665399
156,Floodzone 3b - Functional floodplain,72,5.35228345124194,9.17604554760036
157,Floodzone 3b - Functional floodplain,73,61.4741912350078,66.3662793479597
158,Floodzone 3b - Functional floodplain,74,225.261944477404,136.80683492032
159,Floodzone 3b - Functional floodplain,76,167.019143624744,112.641607250055
160,Floodzone 3b - Functional floodplain,77,9919.48003987643,1581.6731297167
161,Floodzone 3b - Functional floodplain,78,6.4067316055195,11.9735325938792
162,Floodzone 3b - Functional floodplain,79,79.0629464737473,34.7977229200748
163,Floodzone 3a(i) - Developed floodplain,196,629.743418058276,115.242507098126
164,Floodzone 3a(i) - Developed floodplain,198,6223.47064128233,596.959488556839
165,Floodzone 3a(i) - Developed floodplain,201,1868.6470705159,396.917438745467
166,Floodzone 3a(i) - Developed floodplain,202,352.249716097107,435.818234334948
167,Floodzone 3a(i) - Developed floodplain,203,422.069217121123,242.859697184223
168,Floodzone 3a(i) - Developed floodplain,204,271.347537624019,100.472442423198
169,Floodzone 3a(i) - Developed floodplain,205,432.311649205452,114.783293998248
170,Floodzone 3a(i) - Developed floodplain,208,2291.99567675271,408.568667396469
171,Floodzone 3a(i) - Developed floodplain,209,2571.7481795758,502.464717411464
172,Floodzone 3a(i) - Developed floodplain,210,21.7722604308876,22.8095360554001
173,Floodzone 3a(i) - Developed floodplain,211,66.3384741669972,33.3618345168941
174,Floodzone 3a(i) - Developed floodplain,212,0.552586870233202,3.5925395575565
175,Floodzone 3a(i) - Developed floodplain,213,84565.1281060448,1982.89496107808
176,Floodzone 3a(i) - Developed floodplain,214,92012.3279749176,1906.01345830225
177,Floodzone 3a(i) - Developed floodplain,215,17066.4677950435,560.802367808985
178,Floodzone 3a(i) - Developed floodplain,216,44670.4623657763,1259.65967911021
179,Floodzone 3a(i) - Developed floodplain,217,6309.39151144516,411.85064266157
180,Floodzone 3a(i) - Developed floodplain,218,1672.3080497021,167.483757977741
181,Floodzone 3a(i) - Developed floodplain,219,6094.2022201928,338.152236585347
182,Floodzone 3a(i) - Developed floodplain,220,84618.0195985891,2194.9839701485
183,Floodzone 3a(i) - Developed floodplain,221,0.00910381496259146,1.13247346716432
184,Floodzone 3a(i) - Developed floodplain,222,5292.1113680546,508.14370708388
185,Floodzone 3b - Functional floodplain,43,0.00928049999500439,0.520195778622317
186,Floodzone 3b - Functional floodplain,44,20147.160931813,837.671019349001
187,Floodzone 3b - Functional floodplain,92,1754.38624268566,436.96958568006
188,Floodzone 3b - Functional floodplain,95,12759.6326564731,2302.39167492049
189,Floodzone 3a(i) - Developed floodplain,223,0.124667880034714,3.10346342990101
190,Floodzone 3a(i) - Developed floodplain,224,8.00467130846732,29.2054043662681
191,Floodzone 3b - Functional floodplain,91,3406.19290405767,516.967742208884
192,Floodzone 3b - Functional floodplain,80,209.81020326285,204.000866289093
193,Floodzone 3b - Functional floodplain,81,136.695526814598,103.757806439297
194,Floodzone 3b - Functional floodplain,82,39.9907450254808,42.4916213908649
195,Floodzone 3b - Functional floodplain,83,676.678584341756,376.895225182251
196,Floodzone 3b - Functional floodplain,84,42.2702808713117,57.6134074505603
197,Floodzone 3b - Functional floodplain,85,36.6501010571621,28.6721386600279
198,Floodzone 3b - Functional floodplain,86,4182.00263988126,530.566739863172
199,Floodzone 3b - Functional floodplain,88,32.9372911499261,25.141798671239
200,Floodzone 3b - Functional floodplain,89,0.00770999994302169,0.413206828877116
201,Floodzone 3b - Functional floodplain,90,34082.7624910592,3615.5052881943
202,Floodzone 3b - Functional floodplain,26,161346.409030675,26489.8234374463
203,Floodzone 3b - Functional floodplain,102,2699686.41519704,137643.591411945
204,Floodzone 3a(i) - Developed floodplain,197,431.066081449943,266.186251429475
205,Floodzone 3a(i) - Developed floodplain,200,34947.3342743784,4942.45925347289
206,Floodzone 3a(i) - Developed floodplain,199,46354.8574000427,1796.26924705779
207,Floodzone 3a(i) - Developed floodplain,206,405326.632504338,32865.3736709683
208,Floodzone 3b - Functional floodplain,87,43607.762174995,5650.52072259086
