X,Y,objectid,location,notes,cam_number
434455,386663,397,Broomhall/Hanover Street, ,C180
435064,386480,398,South Lane/Hereford Street, ,C181
435028,386547,399,The Moor/Social Rehab, ,"C182
"
442029,384817,400,Market square/Fulton Foods, ,3
442042,384755,401,Tannery Close/Nr Car Park, ,4
442012,384640,402,Tannery Park Play Area, ,5
441981,384465,403,Skelton Lane/Skelton Drive, ,4
441932,384515,404,Waterslacks Road/Jct Skelton Lane, ,7
441839,384745,405,Woodhouse Library/Tannery Street/Sheffield Road, ,8
441741,384782,406,Sheffield Road/ Jct Stradbroke Road, ,9
441762,384851,407,Woodhouse Co-op/ Chapel Street, ,10
441482,384861,408,"Stradbroke Road, Woodhouse Cemetery", ,11
441862,384915,409, Woodhouse Pharmacy /Chapel Street/Autocentre, ,10
441940,384918,410,Church Lane/Chapel Street/ Cross Street Jct, ,11
440451,385016,411,Stradbroke Drive, ,12
439631,385201,412,Fishponds View/Richmond Road, ,15
438887,383514,413,Jaunty Way Basegreen, ,16
438852,385094,414,Ulley Road/Kilvington Avenue Woodthorpe, ,17
434901,386228,415,London Road/Boston Street,,C151
434854,386104,416,London Road/Hill Street,,C152
434947,385873,417,London Road/Alderson Road,,C153
434976,385766,418,London Road/Woodhead Road,,C154
435028,385650,419,London Road/Ward Place,,C155
435040,385450,420,Abbeydale Road/Fieldhead Road,,C156
434941,385350,421,Abbeydale Road/Wolseley Road,,C157
434876,385303,422,Abbeydale Road/South View Road,,C158
434725,385769,423,Sharrow Lane/Tesco,,C159
434910,385411,424,Farrar Road/Herschell Road,,C160
434896,385744,425,Sharrow Lane/Sharrow Street,,C161
434825,385590,426,Sitwell Road/Vincent Road,,C162
434952,385730,427,Mount Pleasant Road/Sitwell Road,,C163
434992,385481,428,Cricket Nets/Mount Pleasant Park,,C164
434932,385581,429,Basketball Courts/Mount Pleasant Park,,C165
434654,385740,430,Sharrow Lane/Washington Road,,C166
434779,386267,431,Boston Street/Cemetery Road,,C167
434537,386073,432,Cemetery Road/Summerfield Street ,,C168
436813,391407,433,Bellhouse Road/Firth Park Roundabout , ,16
434776,387040,434,Devonshire Green Skate Park, ,53
