objectid,routecode,status_text,globalid
31076,STO/72,Footpath,{541AB1CE-6A10-40E2-9F40-EF630BA249C5}
31077,STO/73,Footpath,{1894B9D5-C5A9-4F06-B864-EC7FFC841590}
31078,STO/74,Footpath,{FE242487-5461-4B22-B539-C4AF9BDCE2B7}
31079,STO/8A,Footpath,{012EA90C-416D-443A-A905-AC63665C71B7}
31081,STO/PERMBW/9,Permissive Bridleway,{2A47F1E6-74E5-4E26-85E3-48A2145DAAB0}
31082,STO/PERMFP/2,Permissive Footpath,{E2D33D95-6B21-49CA-A911-CC96F07381E6}
31083,STO/PERMFP/3,Permissive Footpath,{0758C34D-5958-4C5E-90D9-F75AEAD83E5D}
31085,STO/PERMFP/5,Permissive Footpath,{07F76A53-224B-47E2-8EE1-53CB6E7672B3}
31086,BEI/98,Footpath,{8BFCE7AB-F7B2-43FE-B8B0-411D788CFAA8}
31088,SHE/672,Footpath,{4479821E-8FA9-44D6-9ABB-C84A8C38C8F5}
31089,ECC/152,Footpath,{DC51E6B4-4273-4EA8-8354-30D05D5C5066}
31090,ECC/157,Footpath,{593FE148-9931-4022-BE33-C9356DA3D251}
31093,BRA/230,Footpath,{0E25B008-E7E5-475F-9CF9-5AF07F9925EE}
31094,BRA/232,Footpath,{D79F6EEA-CEFC-4A9F-884B-FDAD017433EB}
31095,SHE/248,Footpath,{A4A43E5A-0E14-4ECE-A795-620B09518FC7}
31096,SHE/538,Footpath,{A9AAF4D1-DC19-43F7-86CD-8043F8FD4C74}
31097,BRA/18A,Footpath,{15D16ACE-4D50-49CE-BD7C-E541FDAA2820}
31098,STO/83,Bridleway,{B29BCB95-5877-4B8C-B9DC-FDC3F9EEB7F8}
31099,SHE/PERMBW/8,Permissive Bridleway,{981FAAC8-76E6-4FDC-A524-6F0E85FEC894}
31100,SHE/244,Footpath,{479DD57A-9392-4A21-B6D8-331956067A78}
31101,SHE/318,Footpath,{FF671FB8-6313-419B-BF6E-324DC9EAA555}
31102,SHE/162,Footpath,{338BA2CC-500B-4543-9597-A22B64089CF5}
31104,SHE/78,Bridleway,{755C4A64-579C-4FBC-AE64-F3904E7370C8}
31105,BRA/103,Footpath,{56959E11-7929-4862-9816-2CBA83ADE674}
31107,STO/78,Footpath,{239B396B-9841-466D-A714-1626ACA088B5}
31108,ECC/105A,Footpath,{2FAF91AB-AD67-470D-87AE-F1C3842BCDB3}
31109,STO/23A,Footpath,{D6EDE997-B1B6-4637-A2B5-D73E35BC185B}
31110,SHE/542,Bridleway,{E6CAE96B-2B8A-4742-893C-6092AA3A868E}
31111,SHE/644,Footpath,{5812650A-B2B8-433E-82FF-8C955E9F510F}
31112,SHE/143,Footpath,{C309317F-0DAF-49B8-8C15-26C2F49F3815}
31113,SHE/574,Footpath,{04384D31-68A7-4F3F-9DAB-9556203DF401}
31114,SHE/526B,Footpath,{F640E4E8-F042-4589-B654-37EBCBDA8030}
31115,BRA/12A,Footpath,{973EDD3D-493A-473B-9574-A6579A807906}
